Date,Open,High,Low,Close,Volume
04/10/2026,"77.98","78.17","77.31","77.47","11,081,410"
04/09/2026,"76.65","78.29","76.37","78.18","14,310,990"
04/08/2026,"75.81","77.37","75.32","77.29","12,331,300"
04/07/2026,"77.20","77.60","75.63","75.91","12,769,170"
04/06/2026,"76.64","77.28","76.22","77.22","8,259,893"
04/02/2026,"76.58","76.96","76.12","76.72","14,573,420"
04/01/2026,"76.15","76.36","75.26","76.08","15,834,260"
03/31/2026,"76.53","77.02","75.51","76.05","18,301,811"
03/30/2026,"75.93","77.00","75.72","76.27","18,502,820"
03/27/2026,"74.82","76.05","74.70","75.71","17,461,029"
03/26/2026,"75.19","75.75","74.65","74.69","11,202,130"
03/25/2026,"74.59","75.65","74.07","75.25","14,787,910"
03/24/2026,"74.86","75.69","74.63","74.67","15,653,730"
03/23/2026,"75.34","75.45","74.55","75.11","15,054,920"
03/20/2026,"75.57","76.05","74.39","74.75","33,298,719"
03/19/2026,"76.00","76.45","75.53","75.55","13,023,340"
03/18/2026,"77.08","77.13","75.85","75.97","13,134,640"
03/17/2026,"78.00","78.30","77.45","77.58","14,900,070"
03/16/2026,"78.00","78.43","77.74","77.82","11,761,240"
03/13/2026,"77.47","78.05","77.19","77.34","11,974,500"
03/12/2026,"77.42","78.16","76.90","77.61","16,842,180"
03/11/2026,"77.71","77.71","76.60","77.63","11,551,200"
03/10/2026,"77.48","78.41","77.10","77.88","17,243,869"
03/09/2026,"76.62","78.07","76.53","77.80","18,554,051"
03/06/2026,"76.80","77.19","76.35","77.04","15,516,030"
03/05/2026,"77.68","77.72","76.50","77.03","23,165,650"
03/04/2026,"79.29","79.47","77.75","78.10","21,011,850"
03/03/2026,"79.86","80.08","78.56","79.34","20,549,270"
03/02/2026,"81.25","81.40","80.15","80.22","18,137,230"
02/27/2026,"80.94","82.00","80.82","81.56","28,483,490"
02/26/2026,"80.75","80.89","80.02","80.50","12,843,190"
02/25/2026,"80.40","80.69","79.56","80.47","18,086,881"
02/24/2026,"80.54","81.09","79.85","80.72","16,448,500"
02/23/2026,"79.52","80.85","79.50","80.56","17,157,670"
02/20/2026,"79.33","79.84","78.89","79.84","17,175,100"
02/19/2026,"79.46","79.67","78.59","78.91","14,924,650"
02/18/2026,"79.50","79.84","78.92","79.49","16,304,880"
02/17/2026,"78.99","79.64","78.74","79.56","16,260,200"
02/13/2026,"78.45","79.40","78.13","78.68","16,711,869"
02/12/2026,"78.98","80.41","78.79","79.00","26,043,529"
02/11/2026,"76.88","79.05","76.58","78.60","22,649,711"
02/10/2026,"76.63","77.51","76.01","76.81","28,848,180"
02/09/2026,"78.67","79.11","77.54","77.97","23,415,619"
02/06/2026,"78.50","79.20","78.26","79.03","18,512,359"
02/05/2026,"77.82","78.86","77.59","78.51","21,633,461"
02/04/2026,"77.27","78.11","77.08","77.35","28,607,289"
02/03/2026,"75.27","77.50","75.13","76.89","27,007,051"
02/02/2026,"75.01","75.70","74.40","75.33","19,301,500"
01/30/2026,"73.71","74.90","73.54","74.81","26,420,471"
01/29/2026,"73.18","74.09","73.14","73.43","20,862,070"
01/28/2026,"73.21","73.62","72.57","73.06","14,633,680"
01/27/2026,"72.44","73.56","72.27","73.55","13,239,180"
01/26/2026,"72.86","73.30","72.54","72.56","14,017,420"
01/23/2026,"72.02","73.06","71.78","72.88","18,307,080"
01/22/2026,"71.83","72.04","71.44","71.87","13,962,780"
01/21/2026,"71.98","72.24","70.83","72.01","21,660,570"
01/20/2026,"70.00","71.78","69.79","71.75","22,152,211"
01/16/2026,"70.29","70.74","70.04","70.44","20,027,539"
01/15/2026,"71.59","71.60","70.37","70.48","15,464,120"
01/14/2026,"71.17","71.71","70.81","71.44","16,739,070"
01/13/2026,"70.42","71.24","70.27","71.24","18,324,760"
01/12/2026,"70.90","70.97","70.24","70.50","20,582,471"
01/09/2026,"69.43","70.66","69.12","70.51","19,638,650"
01/08/2026,"67.54","69.46","67.45","69.37","19,236,980"
01/07/2026,"67.99","68.07","67.27","67.54","20,223,359"
01/06/2026,"68.01","68.25","67.59","67.84","21,019,859"
01/05/2026,"68.92","68.92","67.92","67.94","21,186,641"
01/02/2026,"69.85","69.87","68.98","69.12","12,151,310"
12/31/2025,"70.07","70.16","69.88","69.91","8,127,801"
12/30/2025,"70.00","70.24","69.80","70.07","8,610,896"
12/29/2025,"70.00","70.42","69.85","70.16","9,686,936"
12/26/2025,"69.95","70.16","69.73","69.87","5,711,350"
12/24/2025,"69.90","70.16","69.75","70.11","4,515,327"
12/23/2025,"70.20","70.26","69.69","69.87","9,471,036"
12/22/2025,"69.93","70.22","69.66","70.21","12,828,520"
12/19/2025,"70.06","70.77","70.03","70.06","36,911,059"
12/18/2025,"70.27","70.80","70.17","70.36","15,524,800"
12/17/2025,"70.57","70.92","70.31","70.67","13,672,700"
12/16/2025,"71.30","71.30","70.32","70.37","17,370,020"
12/15/2025,"70.43","71.32","70.32","70.97","18,660,051"
12/12/2025,"69.11","70.62","69.04","70.52","18,444,510"
12/11/2025,"70.55","70.69","68.79","69.11","23,124,160"
12/10/2025,"70.39","70.53","69.78","70.21","29,789,359"
12/09/2025,"70.37","70.63","69.83","70.09","13,010,620"
12/08/2025,"69.84","70.38","69.49","70.25","17,775,100"
12/05/2025,"70.32","70.71","69.87","70.00","13,978,240"
12/04/2025,"70.83","71.34","70.37","70.45","17,710,029"
12/03/2025,"70.88","71.40","70.61","70.81","17,001,670"
12/02/2025,"71.80","71.80","70.43","70.67","19,871,301"
12/01/2025,"72.60","72.91","71.93","71.95","14,362,100"
11/28/2025,"73.00","73.23","72.76","73.12","7,422,430"
11/26/2025,"72.60","73.09","72.39","72.88","11,795,060"
11/25/2025,"72.80","72.93","72.14","72.61","17,451,160"
11/24/2025,"73.16","73.16","71.57","72.59","39,818,551"
11/21/2025,"71.68","73.19","71.49","72.95","26,492,529"
11/20/2025,"70.95","71.48","70.61","71.21","15,396,540"
11/19/2025,"71.20","71.45","70.81","71.11","12,401,530"
11/18/2025,"70.99","71.34","70.57","71.22","12,838,920"
11/17/2025,"71.20","71.53","70.62","70.68","14,772,290"
11/14/2025,"71.41","71.64","70.60","71.16","13,172,020"
11/13/2025,"71.42","71.67","71.00","71.07","14,002,820"
11/12/2025,"71.49","71.89","71.34","71.51","13,612,610"
11/11/2025,"70.98","71.75","70.66","71.61","16,160,210"
11/10/2025,"70.01","70.66","69.44","70.52","15,317,990"
11/07/2025,"69.81","70.87","69.41","70.55","25,108,311"
11/06/2025,"68.30","69.14","67.92","69.06","15,906,650"
11/05/2025,"68.66","68.83","68.18","68.51","12,850,130"
11/04/2025,"68.47","68.73","68.16","68.66","12,743,780"
11/03/2025,"68.80","68.89","67.66","67.97","15,660,350"
10/31/2025,"68.55","69.07","67.90","68.90","16,742,680"
10/30/2025,"68.45","69.29","68.39","68.98","14,751,740"
10/29/2025,"69.92","70.03","68.16","68.35","19,789,609"
