Date,Open,High,Low,Close,Volume
04/10/2026,"157.16","157.79","156.33","157.06","4,412,742"
04/09/2026,"153.70","158.01","153.25","157.49","4,339,799"
04/08/2026,"151.88","154.82","151.75","154.80","6,878,878"
04/07/2026,"156.18","156.54","152.57","153.21","5,151,133"
04/06/2026,"156.41","156.86","155.40","156.73","3,562,848"
04/02/2026,"154.66","157.06","154.22","157.01","5,409,982"
04/01/2026,"153.55","155.15","153.26","154.65","5,412,574"
03/31/2026,"157.67","157.67","154.17","155.29","8,033,786"
03/30/2026,"153.82","158.39","153.37","156.82","10,386,800"
03/27/2026,"151.14","154.54","150.47","153.04","6,663,855"
03/26/2026,"151.93","153.15","150.67","150.83","5,677,124"
03/25/2026,"151.30","151.84","149.03","151.73","4,978,532"
03/24/2026,"150.45","152.58","150.20","150.59","5,804,024"
03/23/2026,"152.30","152.30","149.94","150.88","6,783,206"
03/20/2026,"152.45","153.41","149.34","150.04","14,480,710"
03/19/2026,"153.75","154.68","152.66","152.74","5,555,526"
03/18/2026,"155.25","156.12","153.29","153.54","5,124,370"
03/17/2026,"158.83","159.11","156.29","156.50","5,460,242"
03/16/2026,"161.36","161.58","157.54","157.72","4,498,710"
03/13/2026,"159.78","161.51","159.24","159.88","4,676,821"
03/12/2026,"158.87","161.54","158.69","158.86","6,165,981"
03/11/2026,"160.31","160.91","157.89","160.15","4,360,726"
03/10/2026,"160.70","162.86","159.59","160.78","5,341,336"
03/09/2026,"159.17","162.43","158.10","161.53","6,415,969"
03/06/2026,"158.25","159.53","156.09","159.43","5,938,308"
03/05/2026,"162.16","163.40","160.16","160.70","7,133,688"
03/04/2026,"165.04","165.93","163.37","163.92","6,855,436"
03/03/2026,"166.54","167.22","163.67","164.91","6,718,114"
03/02/2026,"169.05","169.54","167.14","167.28","7,263,987"
02/27/2026,"168.38","170.28","167.82","169.74","10,585,170"
02/26/2026,"169.63","170.06","167.16","167.58","7,219,301"
02/25/2026,"168.61","169.50","166.00","169.17","6,832,706"
02/24/2026,"168.23","169.79","167.77","169.54","6,319,783"
02/23/2026,"164.49","168.81","164.24","168.32","6,801,623"
02/20/2026,"164.65","164.97","163.02","164.94","4,811,816"
02/19/2026,"164.39","165.05","163.13","164.59","6,155,811"
02/18/2026,"161.79","164.53","160.63","164.39","7,239,829"
02/17/2026,"166.12","167.54","160.81","161.92","8,749,818"
02/13/2026,"167.20","167.88","165.00","165.94","9,286,336"
02/12/2026,"169.76","171.48","167.09","167.20","9,516,273"
02/11/2026,"167.65","170.27","166.02","169.15","6,733,819"
02/10/2026,"165.75","167.41","163.74","166.97","10,352,920"
02/09/2026,"169.50","169.93","164.94","166.47","10,316,240"
02/06/2026,"167.45","170.75","167.26","170.49","10,960,440"
02/05/2026,"166.51","168.01","165.25","167.53","11,038,830"
02/04/2026,"164.89","167.94","164.17","166.18","13,322,900"
02/03/2026,"156.60","163.44","155.50","162.85","19,096,430"
02/02/2026,"154.06","156.62","153.19","155.20","14,660,510"
01/30/2026,"149.01","153.89","148.59","153.63","12,641,260"
01/29/2026,"148.84","150.86","148.44","148.69","9,062,259"
01/28/2026,"148.41","150.04","147.76","148.50","5,954,075"
01/27/2026,"145.75","148.82","145.33","148.78","7,114,901"
01/26/2026,"144.80","145.92","144.14","145.87","6,589,570"
01/23/2026,"143.86","144.84","143.06","144.58","5,870,098"
01/22/2026,"146.68","147.13","144.17","144.40","8,167,356"
01/21/2026,"147.05","148.01","144.94","146.74","7,679,571"
01/20/2026,"146.22","147.66","144.32","147.66","9,982,823"
01/16/2026,"147.16","147.55","145.51","146.32","10,313,490"
01/15/2026,"146.06","147.02","145.53","146.57","5,797,798"
01/14/2026,"143.14","146.30","143.14","145.92","8,329,463"
01/13/2026,"141.10","143.65","141.04","143.48","9,030,241"
01/12/2026,"139.91","141.51","138.56","141.36","12,223,440"
01/09/2026,"139.44","140.79","138.70","139.91","6,767,560"
01/08/2026,"136.57","139.48","136.01","139.37","8,762,824"
01/07/2026,"139.22","139.83","136.96","137.01","8,539,847"
01/06/2026,"139.68","140.06","138.57","138.96","9,576,481"
01/05/2026,"141.66","141.81","139.40","139.92","9,031,377"
01/02/2026,"143.22","143.41","142.10","142.23","7,182,054"
12/31/2025,"143.83","144.03","143.16","143.52","4,380,343"
12/30/2025,"143.97","145.27","143.92","144.16","4,713,783"
12/29/2025,"143.74","145.05","143.60","144.24","7,201,890"
12/26/2025,"143.56","143.94","143.09","143.78","4,975,533"
12/24/2025,"143.79","143.99","142.95","143.74","2,618,700"
12/23/2025,"147.19","147.19","143.56","143.68","7,254,772"
12/22/2025,"147.53","148.98","146.41","147.05","8,818,726"
12/19/2025,"149.15","149.89","147.90","148.16","17,543,520"
12/18/2025,"149.80","150.37","149.25","149.37","6,643,173"
12/17/2025,"150.38","151.24","149.48","150.08","8,067,133"
12/16/2025,"151.99","152.35","149.99","150.37","7,520,334"
12/15/2025,"150.94","151.70","150.28","151.22","8,409,625"
12/12/2025,"149.75","150.67","148.74","150.65","8,143,100"
12/11/2025,"150.15","150.89","148.13","149.04","7,854,008"
12/10/2025,"147.77","149.78","147.00","149.70","18,526,430"
12/09/2025,"146.35","147.56","143.91","144.64","10,035,180"
12/08/2025,"145.01","146.56","144.20","145.63","6,327,412"
12/05/2025,"145.62","145.80","144.51","145.02","5,971,510"
12/04/2025,"147.75","148.25","146.13","146.91","6,802,969"
12/03/2025,"148.69","150.70","147.91","148.06","5,109,218"
12/02/2025,"149.46","149.51","146.53","148.61","6,830,290"
12/01/2025,"148.63","149.82","148.51","149.51","7,495,450"
11/28/2025,"147.23","148.82","147.23","148.74","2,969,260"
11/26/2025,"146.32","148.47","146.23","147.98","5,180,946"
11/25/2025,"145.93","147.12","145.57","146.11","8,953,952"
11/24/2025,"145.83","146.34","144.76","145.50","9,391,443"
11/21/2025,"146.28","148.94","145.98","146.33","7,911,761"
11/20/2025,"146.60","147.08","144.90","146.10","6,878,914"
11/19/2025,"148.30","148.80","146.69","147.11","8,123,236"
11/18/2025,"148.30","149.83","147.45","148.77","10,821,530"
11/17/2025,"146.12","148.11","145.22","147.83","7,320,150"
11/14/2025,"145.89","146.84","143.93","145.85","5,770,478"
11/13/2025,"144.10","146.39","143.65","145.02","6,663,264"
11/12/2025,"144.56","145.50","144.06","144.39","5,790,488"
11/11/2025,"143.28","145.76","142.68","145.08","7,683,573"
11/10/2025,"142.49","143.02","141.26","142.62","6,617,494"
11/07/2025,"142.93","144.05","141.65","142.95","7,592,652"
11/06/2025,"142.41","143.21","141.30","141.58","6,449,386"
11/05/2025,"142.90","143.28","141.58","142.86","7,136,424"
11/04/2025,"144.70","144.93","142.06","142.90","8,302,941"
11/03/2025,"145.86","145.91","143.25","143.60","8,331,545"
10/31/2025,"146.20","147.00","145.30","146.09","6,313,592"
10/30/2025,"146.34","148.09","146.25","147.55","5,752,708"
10/29/2025,"148.05","148.66","143.67","146.16","7,767,556"
10/28/2025,"151.41","153.21","149.92","150.12","5,626,528"
10/27/2025,"151.01","152.87","150.96","152.63","4,744,578"
10/24/2025,"152.04","152.42","151.27","151.55","3,580,182"
10/23/2025,"153.17","153.40","151.03","151.51","6,091,762"
10/22/2025,"153.15","155.18","152.71","153.03","6,485,959"
10/21/2025,"154.70","155.19","152.84","153.18","5,614,266"
10/20/2025,"154.42","154.42","152.72","153.64","4,810,592"
10/17/2025,"153.77","153.91","151.74","153.71","6,710,141"
10/16/2025,"152.38","154.38","152.29","152.67","8,532,889"
10/15/2025,"151.33","152.39","149.17","151.16","6,101,096"
10/14/2025,"148.69","151.62","148.50","151.54","8,371,136"
10/13/2025,"148.65","149.98","147.34","148.89","7,271,983"
10/10/2025,"145.63","150.82","145.00","150.08","17,545,160"
10/09/2025,"140.46","144.74","138.59","144.71","13,706,630"
10/08/2025,"140.79","140.98","138.69","138.84","8,256,741"
10/07/2025,"140.37","141.84","139.69","140.79","6,110,309"
10/06/2025,"141.77","141.85","138.88","139.70","6,750,712"
10/03/2025,"142.27","143.36","141.86","141.98","5,425,725"
10/02/2025,"141.89","143.25","141.37","142.31","4,497,315"
10/01/2025,"140.81","143.37","140.48","143.14","5,880,796"
09/30/2025,"140.17","141.03","139.83","140.44","7,583,411"
09/29/2025,"140.44","140.67","139.12","140.17","11,930,250"
09/26/2025,"139.94","140.99","139.85","140.44","6,224,693"
09/25/2025,"143.00","143.42","139.86","139.92","7,101,666"
09/24/2025,"141.81","142.34","141.02","142.17","5,949,145"
09/23/2025,"141.04","142.23","139.96","141.90","6,356,489"
09/22/2025,"141.08","141.52","139.94","141.03","5,797,558"
09/19/2025,"141.46","142.08","140.46","141.76","12,365,530"
09/18/2025,"140.64","141.63","140.39","140.73","6,106,557"
09/17/2025,"140.17","142.05","140.15","141.23","6,092,884"
09/16/2025,"140.69","141.31","139.91","140.03","9,283,480"
09/15/2025,"143.40","143.53","140.53","140.64","7,279,639"
09/12/2025,"144.07","144.25","142.90","143.53","5,714,114"
09/11/2025,"142.89","144.75","142.50","144.23","6,144,363"
09/10/2025,"142.23","143.11","141.42","142.66","6,015,122"
09/09/2025,"141.18","143.63","141.10","143.10","5,866,442"
09/08/2025,"145.72","145.72","140.35","141.71","11,127,620"
09/05/2025,"146.00","147.88","145.28","146.39","7,186,260"
09/04/2025,"149.02","149.47","146.45","146.89","6,342,232"
09/03/2025,"149.95","150.46","147.11","148.64","11,259,200"
09/02/2025,"157.44","157.80","150.21","150.28","17,348,609"
08/29/2025,"147.10","149.22","146.87","148.65","7,760,710"
08/28/2025,"147.96","148.04","146.23","146.98","9,265,077"
08/27/2025,"147.00","147.79","146.31","147.64","8,092,909"
08/26/2025,"147.50","148.25","145.81","147.00","11,208,150"
08/25/2025,"148.43","148.82","147.58","148.20","6,624,298"
08/22/2025,"149.65","151.18","149.09","149.64","5,218,019"
08/21/2025,"150.33","150.33","148.60","148.98","8,153,618"
08/20/2025,"153.21","154.61","148.69","150.73","10,023,470"
08/19/2025,"150.00","152.33","149.86","152.16","8,596,943"
08/18/2025,"150.55","150.55","148.92","149.55","9,900,999"
08/15/2025,"149.39","151.10","148.49","150.40","9,162,178"
08/14/2025,"149.04","149.50","148.05","148.62","6,892,466"
08/13/2025,"146.89","149.54","146.85","149.35","6,147,005"
08/12/2025,"145.55","147.01","144.72","146.87","7,670,149"
08/11/2025,"145.32","145.60","143.75","144.87","5,773,384"
08/08/2025,"143.92","145.37","143.80","145.21","5,315,087"
08/07/2025,"141.24","144.31","140.48","143.92","7,674,642"
08/06/2025,"139.90","141.58","139.36","140.80","6,747,448"
08/05/2025,"139.60","140.35","139.26","139.45","5,535,084"
08/04/2025,"139.29","140.32","138.75","139.56","8,384,672"
08/01/2025,"139.11","139.81","138.29","139.28","7,630,810"
07/31/2025,"140.98","141.57","137.64","137.92","11,689,670"
07/30/2025,"143.77","144.40","142.29","142.86","9,738,383"
07/29/2025,"141.57","143.99","141.13","143.89","6,282,944"
07/28/2025,"142.70","143.10","141.46","141.57","10,639,130"
07/25/2025,"144.81","144.82","142.70","143.45","7,021,594"
07/24/2025,"145.82","146.47","143.98","144.51","9,749,426"
07/23/2025,"145.86","147.03","145.09","145.66","6,165,951"
07/22/2025,"141.23","146.40","141.23","146.04","8,281,528"
07/21/2025,"143.11","143.59","140.46","141.70","9,025,630"
07/18/2025,"146.27","146.35","142.94","143.24","13,752,830"
07/17/2025,"141.70","145.96","141.64","145.44","26,161,000"
07/16/2025,"133.95","135.51","133.75","135.35","10,941,630"
07/15/2025,"135.43","135.51","133.75","133.81","8,933,520"
07/14/2025,"134.75","135.88","133.86","135.57","8,480,302"
07/11/2025,"134.84","135.39","133.81","135.26","7,963,646"
07/10/2025,"134.43","136.68","133.63","136.08","8,870,905"
07/09/2025,"134.90","135.38","132.96","134.48","7,762,618"
07/08/2025,"133.41","135.67","133.28","135.04","7,718,265"
07/07/2025,"135.53","135.72","133.68","134.45","7,773,744"
07/03/2025,"136.70","136.83","135.24","135.38","4,941,378"
07/02/2025,"135.25","137.00","134.88","136.48","9,388,667"
