PAŃSTWO;MIEJSCOWOŚĆ;ULICA;NUMER;KOD 
Polska;Warszawa;ul. 3 Maja;69;00-001
Polska;Warszawa;ul. 3 Maja;65;00-001
Polska;Warszawa;ul. 3 Maja;50;00-002
Polska;Warszawa;ul. 3 Maja;85;00-003
Polska;Warszawa;ul. 8 Maja;5c;00-004
Polska;Warszawa;ul. 8 Maja;24;00-005
Polska;Warszawa;ul. 8 Maja;48b;00-006
Polska;Warszawa;ul. Edwarda Abramowskiego;63;00-007
Polska;Warszawa;ul. Edwarda Abramowskiego;69;00-008
Polska;Warszawa;ul. Edwarda Abramowskiego;100;00-009
Polska;Warszawa;ul. Edwarda Abramowskiego;3b;00-009
Polska;Warszawa;ul. Edwarda Abramowskiego;22;00-011
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;10;00-012
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;12;00-013
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;8c;00-014
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;94;00-015
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;2a;00-016
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;96b;00-017
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;100;00-018
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;29;00-019
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;99;00-020
Polska;Warszawa;ul. Heleny i Ludwika Adamczewskich;39;00-020
Polska;Warszawa;ul. Karola Adamieckiego;29;00-021
Polska;Warszawa;ul. Karola Adamieckiego;94;00-022
Polska;Warszawa;ul. Karola Adamieckiego;7;00-023
Polska;Warszawa;ul. Karola Adamieckiego;82;00-024
Polska;Warszawa;ul. Karola Adamieckiego;65b;00-025
Polska;Warszawa;ul. adm. Józefa Unruga;7;00-026
Polska;Warszawa;ul. adm. Józefa Unruga;42;00-026
Polska;Warszawa;ul. adm. Józefa Unruga;47c;00-027
Polska;Warszawa;ul. adm. Józefa Unruga;44b;00-028
Polska;Warszawa;ul. adm. Józefa Unruga;14c;00-029
Polska;Warszawa;ul. adm. Józefa Unruga;71;00-030
Polska;Warszawa;ul. adm. Józefa Unruga;94;00-031
Polska;Warszawa;ul. Afgańska;96;00-032
Polska;Warszawa;ul. Afgańska;7;00-033
Polska;Warszawa;ul. Afgańska;21;00-034
Polska;Warszawa;ul. Afgańska;86;00-035
Polska;Warszawa;ul. Afgańska;87;00-036
Polska;Warszawa;ul. Agatowa;35;00-037
Polska;Warszawa;ul. Agatowa;20;00-038
Polska;Warszawa;ul. Agatowa;82a;00-039
Polska;Warszawa;ul. Agatowa;14;00-040
Polska;Warszawa;ul. Agatowa;49;00-041
Polska;Warszawa;ul. Agatowa;71;00-042
Polska;Warszawa;ul. Agatowa;33;00-043
Polska;Warszawa;ul. Agatowa;60c;00-044
Polska;Warszawa;ul. Agatowa;30;00-046
Polska;Warszawa;ul. Agatowa;55a;00-047
Polska;Warszawa;ul. Agrestowa;56c;00-048
Polska;Warszawa;ul. Agrestowa;5;00-049
Polska;Warszawa;ul. Agrestowa;45;00-050
Polska;Warszawa;ul. Agrestowa;56;00-051
Polska;Warszawa;ul. Agrestowa;3;00-052
Polska;Warszawa;ul. Agrestowa;83b;00-052
Polska;Warszawa;ul. Agrestowa;18;00-054
Polska;Warszawa;ul. Agrestowa;61a;00-055
Polska;Warszawa;al. Akacjowa;88a;00-056
Polska;Warszawa;al. Akacjowa;60b;00-057
Polska;Warszawa;al. Akacjowa;74;00-058
Polska;Warszawa;al. Akacjowa;25;00-059
Polska;Warszawa;al. Akacjowa;8;00-060
Polska;Warszawa;al. Akacjowa;53;00-061
Polska;Warszawa;al. Architektów;4;00-062
Polska;Warszawa;al. Architektów;68;00-062
Polska;Warszawa;al. Architektów;66c;00-063
Polska;Warszawa;al. Architektów;7b;00-064
Polska;Warszawa;al. Architektów;30;00-065
Polska;Warszawa;al. Architektów;83;00-066
Polska;Warszawa;al. Architektów;84;00-067
Polska;Warszawa;al. Architektów;82;00-067
Polska;Warszawa;al. Armii Krajowej;20;00-068
Polska;Warszawa;al. Armii Krajowej;3b;00-068
Polska;Warszawa;al. Armii Krajowej;87b;00-070
Polska;Warszawa;al. Armii Krajowej;55;00-071
Polska;Warszawa;al. Armii Krajowej;92;00-072
Polska;Warszawa;al. Armii Krajowej;14b;00-073
Polska;Warszawa;al. Armii Krajowej;3a;00-074
Polska;Warszawa;al. Armii Krajowej;66;00-075
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;46;00-076
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;58a;00-077
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;79c;00-078
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;72c;00-079
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;32;00-080
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;59;00-081
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;35;00-081
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;46;00-082
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;63;00-083
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;90c;00-084
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;2;00-085
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;49a;00-086
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;28;00-087
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;33a;00-088
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;55;00-089
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;45;00-090
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;32;00-091
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;80a;00-092
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;26;00-093
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;88;00-094
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;82;00-095
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;17;00-095
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;94;00-096
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;36;00-097
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;69;00-098
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;52c;00-099
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;63;00-099
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;87;00-100
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;74c;00-102
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;99b;00-103
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;7a;00-104
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;79;00-105
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;15;00-107
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;57b;00-108
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;63a;00-109
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;29;00-110
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;48;00-110
Polska;Warszawa;al. Tadeusza Boya-Żeleńskiego;7;00-111
Polska;Warszawa;al. Aleksandra Brücknera;55;00-112
Polska;Warszawa;al. Aleksandra Brücknera;36;00-113
Polska;Warszawa;al. Aleksandra Brücknera;82b;00-114
Polska;Warszawa;al. Aleksandra Brücknera;15a;00-115
Polska;Warszawa;al. Aleksandra Brücknera;98;00-116
Polska;Warszawa;al. Aleksandra Brücknera;9;00-116
Polska;Warszawa;al. Aleksandra Brücknera;73;00-117
Polska;Warszawa;al. Aleksandra Brücknera;60c;00-117
Polska;Warszawa;al. Aleksandra Brücknera;10;00-118
Polska;Warszawa;al. Aleksandra Brücknera;1;00-119
Polska;Warszawa;al. Aleksandra Brücknera;53;00-120
Polska;Warszawa;al. Aleksandra Brücknera;56;00-121
Polska;Warszawa;al. Aleksandra Brücknera;61;00-123
Polska;Warszawa;al. Aleksandra Brücknera;15;00-124
Polska;Warszawa;al. Aleksandra Brücknera;79b;00-124
Polska;Warszawa;al. Aleksandra Brücknera;31;00-124
Polska;Warszawa;al. Aleksandra Brücknera;71c;00-125
Polska;Warszawa;al. Aleksandra Brücknera;58c;00-126
Polska;Warszawa;al. Aleksandra Brücknera;61c;00-127
Polska;Warszawa;al. Aleksandra Brücknera;9;00-130
Polska;Warszawa;al. Aleksandra Brücknera;48c;00-131
Polska;Warszawa;al. Aleksandra Brücknera;98;00-132
Polska;Warszawa;al. Aleksandra Brücknera;60;00-133
Polska;Warszawa;al. Aleksandra Brücknera;92;00-135
Polska;Warszawa;al. Aleksandra Brücknera;75;00-136
Polska;Warszawa;al. Aleksandra Brücknera;26;00-137
Polska;Warszawa;al. Aleksandra Brücknera;58;00-138
Polska;Warszawa;al. Aleksandra Brücknera;74;00-138
Polska;Warszawa;al. Aleksandra Brücknera;53;00-138
Polska;Warszawa;al. Aleksandra Brücknera;75a;00-139
Polska;Warszawa;al. Dębowa;43;00-139
Polska;Warszawa;al. Dębowa;69a;00-140
Polska;Warszawa;al. Dębowa;36;00-141
Polska;Warszawa;al. Dębowa;25a;00-142
Polska;Warszawa;al. Dębowa;85;00-143
Polska;Warszawa;al. Dębowa;49b;00-144
Polska;Warszawa;al. Dębowa;83;00-145
Polska;Warszawa;al. Dębowa;38;00-145
Polska;Warszawa;al. Dębowa;15;00-146
Polska;Warszawa;al. Dębowa;55;00-147
Polska;Warszawa;al. Dębowa;39;00-148
Polska;Warszawa;al. Dębowa;75;00-149
Polska;Warszawa;al. Dębowa;27;00-150
Polska;Warszawa;al. Dębowa;47;00-151
Polska;Warszawa;al. Dębowa;52;00-152
Polska;Warszawa;al. Dębowa;27;00-153
Polska;Warszawa;al. Dębowa;46a;00-153
Polska;Warszawa;al. Dębowa;45a;00-154
Polska;Warszawa;al. Dębowa;9;00-155
Polska;Warszawa;al. Dębowa;30;00-156
Polska;Warszawa;al. Dębowa;51;00-157
Polska;Warszawa;al. Dębowa;15;00-158
Polska;Warszawa;al. Dębowa;11;00-159
Polska;Warszawa;al. Dębowa;83;00-159
Polska;Warszawa;al. Dębowa;84b;00-160
Polska;Warszawa;al. Dębowa;8a;00-160
Polska;Warszawa;al. Dębowa;15;00-161
Polska;Warszawa;al. Dębowa;31;00-162
Polska;Warszawa;al. Dębowa;56;00-163
Polska;Warszawa;al. Dębowa;2;00-164
Polska;Warszawa;al. Dębowa;76;00-165
Polska;Warszawa;al. Dębowa;47c;00-166
Polska;Warszawa;al. Dębowa;59a;00-167
Polska;Warszawa;al. Dębowa;51b;00-168
Polska;Warszawa;al. Dębowa;83;00-169
Polska;Warszawa;al. Dębowa;17;00-170
Polska;Warszawa;al. Dębowa;86b;00-171
Polska;Warszawa;al. Dębowa;53;00-172
Polska;Warszawa;al. Dębowa;27;00-173
Polska;Warszawa;al. Dębowa;64;00-174
Polska;Warszawa;al. Dębowa;25c;00-175
Polska;Warszawa;al. Dębowa;36;00-176
Polska;Warszawa;al. gen. Józefa Hallera;87;00-177
Polska;Warszawa;al. gen. Józefa Hallera;51;00-178
Polska;Warszawa;al. gen. Józefa Hallera;55a;00-179
Polska;Warszawa;al. gen. Józefa Hallera;20;00-180
Polska;Warszawa;al. gen. Józefa Hallera;61;00-181
Polska;Warszawa;al. gen. Józefa Hallera;21;00-182
Polska;Warszawa;al. gen. Józefa Hallera;60c;00-183
Polska;Warszawa;al. gen. Józefa Hallera;72b;00-184
Polska;Warszawa;al. gen. Józefa Hallera;13b;00-185
Polska;Warszawa;al. gen. Józefa Hallera;90;00-186
Polska;Warszawa;al. gen. Józefa Hallera;13;00-187
Polska;Warszawa;al. gen. Józefa Hallera;98;00-187
Polska;Warszawa;al. gen. Józefa Hallera;18c;00-188
Polska;Warszawa;al. gen. Józefa Hallera;12;00-189
Polska;Warszawa;al. gen. Józefa Hallera;65;00-190
Polska;Warszawa;al. gen. Józefa Hallera;27a;00-191
Polska;Warszawa;al. gen. Józefa Hallera;98;00-192
Polska;Warszawa;al. gen. Józefa Hallera;67;00-193
Polska;Warszawa;al. gen. Józefa Hallera;67;00-194
Polska;Warszawa;al. gen. Józefa Hallera;33c;00-195
Polska;Warszawa;al. gen. Józefa Hallera;39c;00-196
Polska;Warszawa;al. gen. Józefa Hallera;69;00-197
Polska;Warszawa;al. gen. Józefa Hallera;56;00-198
Polska;Warszawa;al. gen. Józefa Hallera;43;00-199
Polska;Warszawa;al. gen. Józefa Hallera;93;00-200
Polska;Warszawa;al. gen. Józefa Hallera;20;00-201
Polska;Warszawa;al. gen. Józefa Hallera;62;00-210
Polska;Warszawa;al. gen. Józefa Hallera;52c;00-211
